21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40
41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 
01 00 00 00 00 00 00 00 00 04 02 00 00 00 00 00 00 00 04 00 
01 01 00 00 00 00 00 00 00 01 01 00 00 00 00 01 00 00 01 00 
01 01 01 00 00 00 00 03 01 04 01 01 00 00 01 01 01 00 01 00  
02 02 01 01 00 01 01 03 01 01 02 03 00 00 01 01 03 01 04 03
01 02 01 00 00 01 03 04 01 01 01 04 00 00 00 00 01 00 01 01
04 01 00 00 01 01 01 02 01 04 01 01 01 00 00 00 00 00 03 01
01 01 01 00 01 03 01 03 04 01 01 01 01 03 01 01 00 00 01 04
01 03 00 00 01 01 01 01 04 00 01 03 03 01 00 00 00 01 01 01
01 01 00 00 01 01 01 01 04 00 01 03 01 01 00 00 00 01 02 01
03 02 03 00 01 01 01 01 01 00 01 04 04 01 01 02 00 01 01 01
01 01 01 00 01 03 04 01 01 00 01 01 01 01 01 01 01 03 04 01
01 00 00 00 01 01 01 01 01 00 01 01 01 01 01 01 01 01 01 01
02 02 03 00 01 01 01 01 01 00 01 04 01 01 01 01 00 01 02 02
01 03 01 00 01 02 04 01 01 00 00 01 02 01 02 01 01 01 01 01
04 01 01 00 01 01 01 01 01 00 00 01 00 01 01 01 01 01 01 01
01 01 01 00 01 02 01 03 04 01 01 01 01 01 01 01 00 00 03 01
03 03 00 00 01 02 02 01 04 00 01 03 03 01 00 00 00 01 02 03
01 01 00 00 01 02 02 01 04 00 01 03 01 01 00 00 00 03 02 01
01 02 03 00 01 01 01 01 01 00 01 04 01 00 01 01 00 02 01 01
01 01 01 00 00 02 04 01 01 01 01 01 01 01 01 01 01 01 01 01
01 02 01 01 00 00 00 01 01 01 01 01 01 01 01 01 01 01 01 01
03 03 00 00 00 02 02 01 04 00 01 03 03 01 00 00 00 01 02 03
01 01 00 00 01 02 02 01 04 00 01 03 01 01 00 00 00 03 02 01
01 02 03 00 01 01 01 01 01 00 01 04 01 00 01 01 00 02 01 01
01 01 00 00 01 01 01 01 04 00 01 03 01 01 00 00 00 01 02 01
03 02 03 00 01 01 01 01 01 00 01 04 04 01 01 02 00 01 01 01
01 01 01 00 00 02 04 01 01 01 01 01 01 01 01 01 01 01 01 01
01 02 01 01 00 00 00 01 01 01 01 01 01 01 01 01 01 01 01 01
02 02 01 01 00 01 01 03 01 01 02 03 00 00 01 01 03 01 04 03
01 02 01 00 00 01 03 04 01 01 01 04 00 00 00 00 01 00 01 01
01 00 00 00 00 00 00 00 00 04 00 00 00 00 00 00 00 00 04 00 
01 01 00 00 00 00 00 00 00 01 01 00 00 00 00 01 00 00 01 00 






